title,link_url,text
멀홀랜드 드라이브,https://ko.wikipedia.org/wiki/%EB%A9%80%ED%99%80%EB%9E%9C%EB%93%9C_%EB%93%9C%EB%9D%BC%EC%9D%B4%EB%B8%8C,"산타모니카에 이르는 도로 ‘멀홀랜드 드라이브’에서 어느 날 밤 차 사고가 발생한다. 사고에서 가까스로 살아난 리타(로라 해링 분)는 기억상실증에 걸린 채 근처의 한 빌라에 숨어 들어간다. 한편, 헐리웃 스타의 꿈을 안고 LA에 도착한 베티(나오미 왓츠 분)는 이모의 집을 방문하고 그곳에 숨어있는 리타를 발견한다. 베티는 자신의 미래를 보장해 줄 아담 케셔 감독과의 만남도 제쳐두고 리타를 돕기 위해 그녀에게 유일하게 남은 기억의 단서 ‘다이안’이라는 인물을 찾아 나선다. 한 낮의 ‘윙키스’ 식당. 댄은 이곳에서 허브를 만나 자신이 꾼 악몽에 대해 이야기한다. 이 윙키스 식당에서 지금처럼 그들은 함께 있었고 공포에 떨고 있었다며 그 기분을 떨쳐내고 싶다고 말하는 댄. 그러나 댄은 이 현실이 악몽과 똑같이 진행되고 있음을 깨닫는다. 꿈에 등장했던 기괴한 한 남자. 댄과 허브는 그 남자를 마주하고 댄은 그 자리에서 숨을 거둔다. 명망있는 젊은 감독 아담 케셔(저스틴 테럭스 분)는 캐스티글리아니 형제로부터 신작에 카밀라 로즈라는 전혀 생소한 이름의 여배우를 주연으로 캐스팅하라는 압력을 받는다. 아담 케셔는 절대 받아들일 수 없다며 자리를 박차고 나와 집으로 가지만 그를 기다리는 것은 다른 남자와 누워있는 아내. 게다가 캐스티글리아니 형제로 인해 파산위기에 몰린 아담은 익명의 카우보이로부터 만나자는 제안을 받는다. 헐리웃 스타를 꿈꾸는 두 여배우 카밀라와 다이안. 그들은 사랑을 나누는 연인이다. 그러나 카밀라는 아담 케셔의 영화에 출연하면서 다이안에게 결별을 선언하고 아담 케셔와 연인관계를 이룬다. 카밀라의 배신은 사랑을 애증으로 뒤바꾸어 놓고 다이안은 점차 폐인 되어 간다. 결국 그녀는 한 킬러에게 카밀라를 없애달라는 의뢰를 하는데."
화양연화,https://ko.wikipedia.org/wiki/%ED%99%94%EC%96%91%EC%97%B0%ED%99%94,"가장 아름답고 찬란했던 시절 같은 날 같은 아파트로 이사 온 ‘첸 부인’과 ‘차우’. 이사 첫날부터 자주 마주치던 두 사람은 ‘차우’의 넥타이와 ‘첸 부인’의 가방이 각자 배우자의 것과 똑같음을 깨닫고 그들의 관계를 눈치챈다. 그 관계의 시작이 궁금해진 두 사람은 비밀스러운 만남을 이어가고 감정이 깊어지지 않기 위해 노력하지만, 서로에게 점점 빠져들기 시작한다. ""많은 일이 나도 모르게 시작되죠"""
데어 윌 비 블러드,https://ko.wikipedia.org/wiki/%EB%8D%B0%EC%96%B4_%EC%9C%8C_%EB%B9%84_%EB%B8%94%EB%9F%AC%EB%93%9C,"1898년 지독한 알콜 중독자에 부인도 없이 홀로 아들을 키우며 아무도 거들떠 보지 않는 황무지 사막 한가운데서 금을 캐는 무일푼 광부. 어느날 이곳에서 그는 석유 유전을 발굴하면서 일확천금의 행운을 누리게 된다. 야심찬 석유 개발과 함께 시작된 야망과 꿈은 어느새 탐욕과 폭력으로 바뀌게 되고, 쉴새 없이 샘솟는 석유와는 반대로 이들 사이에는 사랑과 존경, 희망, 믿음 등이 사라져만 가는데…"
센과 치히로의 행방불명,https://ko.wikipedia.org/wiki/%EC%84%BC%EA%B3%BC_%EC%B9%98%ED%9E%88%EB%A1%9C%EC%9D%98_%ED%96%89%EB%B0%A9%EB%B6%88%EB%AA%85,"금지된 세계의 문이 열렸다! 이사 가던 날, 수상한 터널을 지나자 인간에게는 금지된 신들의 세계로 오게 된 치히로.. 신들의 음식을 먹은 치히로의 부모님은 돼지로 변해버린다. “걱정마, 내가 꼭 구해줄게…” 겁에 질린 치히로에게 다가온 정체불명의 소년 하쿠. 그의 따뜻한 말에 힘을 얻은 치히로는 인간 세계로 돌아가기 위해 사상 초유의 미션을 시작하는데…"
보이후드,https://ko.wikipedia.org/wiki/%EB%B3%B4%EC%9D%B4%ED%9B%84%EB%93%9C_(%EC%98%81%ED%99%94),여섯 살 ‘메이슨 주니어’(엘라 콜트레인)와 그의 누나 ‘사만다’(로렐라이 링클레이터)는 싱글맘인 ‘올리비아’(패트리샤 아케이트)와 텍사스에 살고 있다. 아빠인 ‘메이슨 시니어’(에단 호크)는 일주일에 한 번씩 들러 ‘메이슨’과 ‘사만다’를 데리고 캠핑을 가거나 야구장에 데려 가며 친구처럼 놀아 주곤 하지만 함께 살 수는 없다. 게다가 엄마의 일 때문에 친구들과 헤어져 계속해서 낯선 도시로 이사를 다녀야 하는 메이슨은 외로운 나날을 보내며 점차 성장해가는데…….
이터널 선샤인,https://ko.wikipedia.org/wiki/%EC%9D%B4%ED%84%B0%EB%84%90_%EC%84%A0%EC%83%A4%EC%9D%B8,"조엘은 아픈 기억만을 지워준다는 라쿠나사를 찾아가 헤어진 연인 클레멘타인의 기억을 지우기로 결심한다. 기억이 사라져 갈수록 조엘은 사랑이 시작되던 순간, 행복한 기억들, 가슴 속에 각인된 추억들을 지우기 싫어지기만 하는데... 당신을 지우면 이 아픔도 사라질까요? 사랑은 그렇게 다시 기억된다."
트리 오브 라이프,https://ko.wikipedia.org/wiki/%ED%8A%B8%EB%A6%AC_%EC%98%A4%EB%B8%8C_%EB%9D%BC%EC%9D%B4%ED%94%84,"""아버지, 그 시절 당신이 미웠습니다"" 중년의 잘 나가는 건축가 잭(숀 펜 分). 그는 늘 같은 꿈을 꾸며 눈을 뜬다. 19살 때 죽은 어린 동생에 대한 기억. 오랜만에 아버지와 통화를 한 잭은 문득 어린 시절을 떠올린다. 미국 텍사스, 오브라이언(브래드 피트 分)과 아내(제시카 차스테인 分)는 세 아들과 함께 단란한 가정을 이룬다. 언제나 자애로운 사랑으로 아이들을 대하는 엄마와 달리 엄격하기만 한 아버지 오브라이언은 아이들에게 경외의 대상이자 두려움의 대상이다. 맏아들인 잭은 권위적인 아버지와 자꾸 부딪히게 되고 두 사람 사이엔 미움과 분노가 자리하게 되는데…"
하나 그리고 둘,https://ko.wikipedia.org/wiki/%ED%95%98%EB%82%98_%EA%B7%B8%EB%A6%AC%EA%B3%A0_%EB%91%98,8살 소년 양양은 아빠 NJ로부터 카메라를 선물 받는다 사람들이 보지 못하는 그들의 뒷모습을 찍는 양양 양양의 사진 속에는 사업이 위기에 빠진 시기에 30년 전 첫사랑을 다시 만나게 된 아빠 NJ 외할머니가 사고로 쓰러진 뒤 슬픔에 빠져 집을 떠나있게 된 엄마 민민 외할머니의 사고가 자신 때문이라고 생각하는 누나 팅팅 그리고 저마다의 삶을 살아가는 사람들이 있다 누구에게도 보여주지 않은 ‘진실의 절반’을 간직한 사람들의 이야기
씨민과 나데르의 별거,https://ko.wikipedia.org/wiki/%EC%94%A8%EB%AF%BC%EA%B3%BC_%EB%82%98%EB%8D%B0%EB%A5%B4%EC%9D%98_%EB%B3%84%EA%B1%B0,"이민 문제에 대한 의견 차이로 별거를 선택한 씨민과 나데르 부부. 씨민이 떠나자 나데르는 치매에 걸린 아버지를 돌보기 위해 간병인 라지에를 고용한다. 하지만 라지에가 잠시 집을 비운 사이, 아버지가 위험에 처하고 화가 난 나데르는 라지에를 해고해 버린다. 그리고 얼마 뒤, 라지에가 뱃속의 아이를 유산했다는 소식이 전해지고 나데르는 살인죄로 기소되기에 이르는데…. 과연 그날 이들에겐 무슨 일이 있었던 걸까?"
노인을 위한 나라는 없다,https://ko.wikipedia.org/wiki/%EB%85%B8%EC%9D%B8%EC%9D%84_%EC%9C%84%ED%95%9C_%EB%82%98%EB%9D%BC%EB%8A%94_%EC%97%86%EB%8B%A4_(%EC%98%81%ED%99%94),"총격전이 벌어진 끔찍한 현장에서 르웰린 모스(조슈 브롤린)는 우연히 이백만 달러가 들어있는 가방을 손에 넣는다. 그러나 이 가방을 찾는 또 다른 이가 있었으니 바로 살인마 안톤 시거(하비에르 바르뎀). 그리고 이들의 뒤를 쫓는 보안관 벨(토미 리 존스)까지 합세하면서 누구도 피할 수 없는, 목숨을 건 추격전이 시작된다."
